price,area_marla,bathroom,bedroom,location,city,area_sqft,price_per_marla
20000000.0,4.0,,,Eden Gardens, Faisalabad,1089.0,5000000.0
80000000.0,13.0,5,4,Canal Road, Faisalabad,3539.25,6153846.153846154
150000000.0,20.0,6,5,Canal Road, Faisalabad,5445.0,7500000.0
55000000.0,14.5,5,5,Canal Road, Faisalabad,3947.625,3793103.4482758623
85000000.0,11.0,,,Canal Road, Faisalabad,2994.75,7727272.7272727275
29000000.0,5.0,4,3,Eden Valley, Faisalabad,1361.25,5800000.0
25000000.0,7.0,4,3,Canal Road, Faisalabad,1905.75,3571428.5714285714
27000000.0,5.0,4,3,Eden Valley, Faisalabad,1361.25,5400000.0
26000000.0,5.0,5,4,Wapda City, Faisalabad,1361.25,5200000.0
62500000.0,10.0,6,5,Canal Road, Faisalabad,2722.5,6250000.0
24500000.0,5.0,4,3,Canal Road, Faisalabad,1361.25,4900000.0
23000000.0,5.0,4,3,Eden Gardens, Faisalabad,1361.25,4600000.0
26000000.0,5.0,4,3,Eden Orchard, Faisalabad,1361.25,5200000.0
60000000.0,11.0,6,5,Eden Orchard, Faisalabad,2994.75,5454545.454545454
19500000.0,4.0,4,3,Eden Gardens, Faisalabad,1089.0,4875000.0
21500000.0,4.0,4,3,Eden Valley, Faisalabad,1089.0,5375000.0
25000000.0,5.0,5,3,Eden Gardens, Faisalabad,1361.25,5000000.0
30000000.0,6.0,6,5,Khayaban Gardens, Faisalabad,1633.5,5000000.0
45000000.0,11.0,6,5,Khayaban Gardens, Faisalabad,2994.75,4090909.090909091
500000000.0,60.0,7,8,Civil Lines, Faisalabad,16335.0,8333333.333333333
30000000.0,10.0,6,5,Citi Housing, Faisalabad,2722.5,3000000.0
180000000.0,80.0,6,8,Citi Housing, Faisalabad,21780.0,2250000.0
15500000.0,5.0,4,3,Citi Housing, Faisalabad,1361.25,3100000.0
120000000.0,40.0,6,5,Citi Housing, Faisalabad,10890.0,3000000.0
95000000.0,20.0,5,6,Citi Housing, Faisalabad,5445.0,4750000.0
55000000.0,10.0,5,4,Wapda City, Faisalabad,2722.5,5500000.0
26000000.0,5.0,,,Eden Gardens, Faisalabad,1361.25,5200000.0
26500000.0,5.0,,,Eden Valley, Faisalabad,1361.25,5300000.0
27500000.0,5.0,,,Eden Valley, Faisalabad,1361.25,5500000.0
110000000.0,20.0,6,6,Wapda City, Faisalabad,5445.0,5500000.0
13500000.0,5.0,4,3,Citi Housing, Faisalabad,1361.25,2700000.0
20000000.0,5.0,4,3,Citi Housing, Faisalabad,1361.25,4000000.0
37500000.0,10.0,5,5,Wapda City, Faisalabad,2722.5,3750000.0
