price,Area,bathroom,bedroom,location
PKR2 Crore,4 Marla,-,-,"Eden Gardens, Faisalabad, Punjab"
PKR8 Crore,13 Marla,5,4,"Canal Road, Faisalabad, Punjab"
PKR15 Crore,1 Kanal,6,5,"Canal Road, Faisalabad, Punjab"
PKR5.5 Crore,14.5 Marla,5,5,"Canal Road, Faisalabad, Punjab"
PKR8.5 Crore,11 Marla,-,-,"Canal Road, Faisalabad, Punjab"
PKR2.9 Crore,5 Marla,4,3,"Eden Valley, Faisalabad, Punjab"
PKR2.5 Crore,7 Marla,4,3,"Canal Road, Faisalabad, Punjab"
PKR2.7 Crore,5 Marla,4,3,"Eden Valley, Faisalabad, Punjab"
PKR2.6 Crore,5 Marla,5,4,"Wapda City, Faisalabad, Punjab"
PKR6.25 Crore,10 Marla,6,5,"Canal Road, Faisalabad, Punjab"
PKR2.45 Crore,5 Marla,4,3,"Canal Road, Faisalabad, Punjab"
PKR2.3 Crore,5 Marla,4,3,"Eden Gardens, Faisalabad, Punjab"
PKR2.6 Crore,5 Marla,4,3,"Eden Orchard, Faisalabad, Punjab"
PKR6 Crore,11 Marla,6,5,"Eden Orchard, Faisalabad, Punjab"
PKR1.95 Crore,4 Marla,4,3,"Eden Gardens, Faisalabad, Punjab"
PKR2.15 Crore,4 Marla,4,3,"Eden Valley, Faisalabad, Punjab"
PKR2.5 Crore,5 Marla,5,3,"Eden Gardens, Faisalabad, Punjab"
PKR3 Crore,6 Marla,6,5,"Khayaban Gardens, Faisalabad, Punjab"
PKR4.5 Crore,11 Marla,6,5,"Khayaban Gardens, Faisalabad, Punjab"
PKR50 Crore,3 Kanal,7,8,"Civil Lines, Faisalabad, Punjab"
PKR3 Crore,10 Marla,6,5,"Citi Housing, Faisalabad, Punjab"
PKR18 Crore,4 Kanal,6,8,"Citi Housing, Faisalabad, Punjab"
PKR1.55 Crore,5 Marla,4,3,"Citi Housing, Faisalabad, Punjab"
PKR12 Crore,2 Kanal,6,5,"Citi Housing, Faisalabad, Punjab"
PKR9.5 Crore,1 Kanal,5,6,"Citi Housing, Faisalabad, Punjab"
PKR2.3 Crore,5 Marla,4,3,"Eden Gardens, Faisalabad, Punjab"
PKR5.5 Crore,10 Marla,5,4,"Wapda City, Faisalabad, Punjab"
PKR2.6 Crore,5 Marla,-,-,"Eden Gardens, Faisalabad, Punjab"
PKR2.65 Crore,5 Marla,-,-,"Eden Valley, Faisalabad, Punjab"
PKR2.75 Crore,5 Marla,-,-,"Eden Valley, Faisalabad, Punjab"
PKR11 Crore,1 Kanal,6,6,"Wapda City, Faisalabad, Punjab"
PKR1.35 Crore,5 Marla,4,3,"Citi Housing, Faisalabad, Punjab"
PKR2 Crore,5 Marla,4,3,"Citi Housing, Faisalabad, Punjab"
PKR3.75 Crore,10 Marla,5,5,"Wapda City, Faisalabad, Punjab"
PKR3.5 Crore,6 Marla,5,4,"Riaz ul Jannah, Faisalabad, Punjab"
PKR1.75 Crore,5 Marla,3,3,"Lower Canal Road, Faisalabad, Punjab"
PKR2.6 Crore,5 Marla,-,-,"Eden Gardens, Faisalabad, Punjab"
PKR6 Crore,10 Marla,7,5,"Canal Road, Faisalabad, Punjab"
PKR2.75 Crore,5 Marla,4,3,"Eden Orchard, Faisalabad, Punjab"
PKR1.85 Crore,5 Marla,4,3,"Citi Housing, Faisalabad, Punjab"
PKR2.55 Crore,5 Marla,4,3,"Wapda City, Faisalabad, Punjab"
PKR4.75 Crore,10 Marla,5,4,"Wapda City, Faisalabad, Punjab"
PKR1.75 Crore,5 Marla,4,3,"Citi Housing, Faisalabad, Punjab"
PKR1.75 Crore,5 Marla,4,3,"Citi Housing, Faisalabad, Punjab"
PKR1.35 Crore,3 Marla,4,3,"Canal Road, Faisalabad, Punjab"
PKR2.7 Crore,7 Marla,5,4,"Canal Road, Faisalabad, Punjab"
PKR2.7 Crore,5 Marla,4,3,"Eden Orchard, Faisalabad, Punjab"
PKR14 Crore,1 Kanal,7,5,"Canal Road, Faisalabad, Punjab"
PKR1.8 Crore,5 Marla,4,3,"Citi Housing, Faisalabad, Punjab"
PKR4.25 Crore,7 Marla,-,-,"Canal Road, Faisalabad, Punjab"
PKR4.25 Crore,7 Marla,4,4,"Eden Valley, Faisalabad, Punjab"
PKR2.9 Crore,5 Marla,-,-,"Eden Valley, Faisalabad, Punjab"
PKR2.25 Crore,4 Marla,-,-,"Eden Valley, Faisalabad, Punjab"
